epoch,Acivation,Batch_size,Comp_time,Cum_comp_time,Dropout_rate,Objective,Optimizer,_Dataset_name,_Model_id,_Model_setup,acc,loss,val_acc,val_loss
0,relu,64,34.351040840148926,34.351040840148926,0.0,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000000,CNN,0.9592833333333334,0.13892914672742288,0.9776,0.06967568698599935
1,relu,64,30.305410861968994,64.65645170211792,0.0,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000000,CNN,0.9842833333333333,0.05275527808889747,0.9813,0.059501667740941046
2,relu,64,30.060778379440308,94.71723008155823,0.0,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000000,CNN,0.9898166666666667,0.03300863076318055,0.9799,0.0645216185268946
3,relu,64,30.23062300682068,124.9478530883789,0.0,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000000,CNN,0.994,0.02045175315430388,0.9817,0.06484001238362398
4,relu,64,30.092005252838135,155.03985834121704,0.0,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000000,CNN,0.9954833333333334,0.013661515506143527,0.9814,0.07942583605123218
5,relu,64,30.25072979927063,185.29058814048767,0.0,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000000,CNN,0.9955166666666667,0.012499897519988009,0.9823,0.0745432964464766
6,relu,64,30.081148386001587,215.37173652648926,0.0,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000000,CNN,0.9973166666666666,0.008019458379002753,0.9822,0.07740722375522309
7,relu,64,30.170066833496094,245.54180335998535,0.0,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000000,CNN,0.9980166666666667,0.006147167142297258,0.9765,0.11534095673383563
8,relu,64,30.314961671829224,275.8567650318146,0.0,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000000,CNN,0.9978666666666667,0.006253942715452285,0.9827,0.08421402669888411
9,relu,64,30.082412481307983,305.93917751312256,0.0,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000000,CNN,0.9991,0.0030505389041723297,0.9786,0.10569419853309592
0,relu,64,41.90880227088928,41.90880227088928,0.3,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000001,CNN,0.9626166666666667,0.12432250187595685,0.9791,0.06192167170718312
